Rank,County-equivalent,State,Per capita income,Median household income,Median family income,Population,Number of households
985,Tama,Iowa,25311,51670,60657,17661,6794
986,Newport News City,Virginia,25310,51027,59514,181025,69211
987,Yellow Medicine,Minnesota,25303,52510,61389,10294,4135
988,Andrew,Missouri,25302,54336,67006,17319,6691
989,Henry,Georgia,25299,60781,67683,206349,69238
990,McClain,Oklahoma,25293,54426,67537,35155,12749
991,Kings,New York,25289,46085,51581,2539789,916025
992,Eau Claire,Wisconsin,25287,48090,67630,99788,39754
993,Cass,Minnesota,25287,45045,53277,28485,12906
,,North Carolina,25284,46334,56928,9651380,3715565
994,Kewaunee,Wisconsin,25282,53588,67033,20578,8145
995,Allen,Indiana,25279,49370,60867,358324,138212
996,Green Lake,Wisconsin,25275,46994,60358,19042,8001
997,Butler,Iowa,25269,52026,63153,14909,6189
998,Pima,Arizona,25269,45841,57757,986891,384041
999,Nemaha,Nebraska,25269,42672,68516,7207,3001
1000,Frontier,Nebraska,25262,50227,58636,2568,1086
1001,Marshall,Kansas,25262,44032,60625,10057,4345
1002,Keya Paha,Nebraska,25251,36923,44231,698,354
1003,Fillmore,Minnesota,25249,50657,64379,20870,8422
1004,Cabarrus,North Carolina,25247,53551,66058,181415,64713
1005,Hampton City,Virginia,25247,50705,62991,136957,52511
1006,Westmoreland,Virginia,25245,49157,55966,17532,7130
1007,Hamlin,South Dakota,25233,55563,63659,5925,2041
1008,Madison,New York,25230,53589,66688,72839,26565
1009,Crawford,Illinois,25214,46216,59235,19707,7731
1010,Knox,Nebraska,25214,42230,54286,8617,3776
1011,Cherry,Nebraska,25213,45464,54185,5735,2618
1012,Caroline,Maryland,25211,58632,66471,32871,11806
1013,Burt,Nebraska,25203,46817,62449,6748,2899
1014,Houston,Georgia,25195,54893,66233,143205,52330
1015,Lincoln,Oregon,25194,42365,53750,46070,20913
1016,Cooke,Texas,25186,50067,59160,38484,14466
1017,Antelope,Nebraska,25186,43518,54688,6600,2855
1018,Yavapai,Arizona,25186,42987,53015,211968,91349
,,Georgia,25182,49179,58755,9810417,3518097
1019,Hood River,Oregon,25181,56725,64422,22427,8144
1020,DeSoto,Mississippi,25176,58505,64822,163975,57979
1021,Hardin,Iowa,25153,49342,64360,17453,7061
1022,Wilkin,Minnesota,25148,50507,62835,6576,2685
1023,Christian,Missouri,25134,52838,60493,78724,29652
1024,Shenandoah,Virginia,25134,49625,57422,42270,17397
1025,Douglas,Wisconsin,25129,45418,59716,43994,18933
1026,Lee,Texas,25123,51534,66352,16603,6078
1027,Big Horn,Wyoming,25119,52589,61910,11741,4462
1028,Haskell,Kansas,25114,52415,60125,4219,1411
1029,Washington County,Virginia,25109,41897,54606,54804,22755
1030,Oneida,New York,25103,48729,62090,234206,91075
1031,Clinton,Missouri,25100,53826,64341,20659,8089
1032,Amelia,Virginia,25100,52885,61403,12712,4808
1033,Iroquois,Illinois,25098,47079,58930,29446,11892
1034,Keith,Nebraska,25097,41970,58047,8247,3786
1035,Tipton,Indiana,25093,52686,60757,15834,6622
1036,Chatham,Georgia,25093,45794,55978,271102,102484
1037,Rutherford,Tennessee,25077,55401,66755,269407,96731
1038,Livingston,Louisiana,25076,56811,66164,130192,46246
1039,Clayton,Iowa,25074,47494,57348,17990,7707
1040,Faribault,Minnesota,25065,44264,56849,14430,6331
1041,Winneshiek,Iowa,25062,53122,66694,21038,8042
1042,Barry,Michigan,25059,52186,63064,59121,22610
1043,Palo Alto,Iowa,25055,44663,60550,9352,3948
1044,Box Butte,Nebraska,25046,46373,58521,11312,4860
1045,Muscatine,Iowa,25038,51425,60616,42798,16410
1046,Lake,Colorado,25029,44610,57267,7332,3079
1047,Limestone,Alabama,25020,48619,57858,85264,31794
1048,Trempealeau,Wisconsin,25017,49143,61196,29098,11745
1049,Burnet,Texas,24998,48115,58125,43230,16588
1050,Montgomery,Ohio,24997,43401,55971,536433,222578
1051,Sierra,California,24996,39009,52454,3127,1253
1052,Mower,Minnesota,24990,46004,61094,39252,15855
1053,Washington County,Colorado,24977,44683,55606,4796,2019
1054,Montgomery,Alabama,24975,44790,56684,228980,88844
1055,Portage,Wisconsin,24972,50996,65214,70136,27975
1056,Sullivan,New York,24963,48089,60166,77134,29531
1057,Kaufman,Texas,24954,61194,67995,105220,34922
1058,Livingston,Illinois,24952,54614,64978,38687,14446
1059,Stevens,Kansas,24950,54494,63438,5713,1936
1060,Aitkin,Minnesota,24939,41617,50684,16032,7741
1061,Saline,Kansas,24935,47215,55970,55633,22173
1062,Garrett,Maryland,24932,45206,56341,30014,11974
1063,St. James,Louisiana,24930,55443,63632,21916,7786
1064,Allamakee,Iowa,24926,48831,56269,14242,5862
1065,Woodward,Oklahoma,24922,51867,63096,20483,7382
1066,Carter,Montana,24921,39659,60000,1241,495
1067,Jasper,Iowa,24905,50513,63418,36710,14826
1068,Pottawatomie,Kansas,24892,56854,71259,22009,7974
1069,Kosciusko,Indiana,24881,50859,60725,77527,29705
1070,Hubbard,Minnesota,24880,45961,55744,20440,8670
1071,De Baca,New Mexico,24879,37660,46534,1975,689
1072,Orange,Florida,24877,47581,56830,1175416,415790
1073,Wagoner,Oklahoma,24874,55723,63730,74077,27016
1074,Carbon,Pennsylvania,24861,48900,57049,65074,25903
1075,Dewey,Oklahoma,24860,46488,57868,4800,1830
1076,Alachua,Florida,24857,42149,62139,249848,96043
1077,Kent,Delaware,24851,55149,64414,165030,58524
1078,Washburn,Wisconsin,24850,41924,52635,15842,7348
1079,Kent,Texas,24839,46875,56016,913,401
1080,West Baton Rouge,Louisiana,24838,50926,64567,24012,8820
1081,Sherman,Nebraska,24837,41835,51469,3129,1369
1082,Broome,New York,24835,45958,59345,199298,79763
1083,Benzie,Michigan,24831,47366,54971,17474,7682
1084,Pierce,Nebraska,24830,51924,62143,7211,2916
1085,Buffalo,Nebraska,24830,50963,67076,46885,17705
1086,Effingham,Georgia,24824,63030,69450,52961,17830
1087,Johnson,Texas,24816,57535,65392,152384,52044
1088,Keweenaw,Michigan,24802,39038,50250,2181,1014
1089,Lafourche,Louisiana,24798,50572,59941,96755,35072
1090,Luzerne,Pennsylvania,24793,44402,58150,320827,130880
1091,Jefferson,Missouri,24792,54845,64116,219636,80812
1092,Osage,Kansas,24789,50205,62512,16260,6558
1093,Schleicher,Texas,24787,50648,70556,3316,1078
1094,Ballard,Kentucky,24781,44588,56414,8282,3327
1095,Jefferson,Nebraska,24777,44843,57234,7563,3301
1096,Monterey,California,24775,59168,63669,420569,125428
1097,Fulton,Ohio,24771,52856,63355,42601,16285
1098,Delta,Colorado,24771,42078,51539,30659,12671
1099,Aiken,South Carolina,24769,44509,56150,161710,63388
1100,Albany,Wyoming,24758,42774,67949,36745,15257
1101,Ingham,Michigan,24754,45321,62971,281531,108823
1102,Staunton City,Virginia,24753,38501,61671,23989,10495
1103,Baltimore City,Maryland,24750,41385,50151,621445,241455
1104,Atchison,Missouri,24748,44426,54247,5605,2448
1105,Franklin,Missouri,24742,48857,60741,101569,39263
1106,Orange,Texas,24736,49507,59926,82372,31162
1107,San Jacinto,Texas,24733,46107,53569,26669,9425
1108,Cascade,Montana,24727,44963,58565,81621,33430
1109,Churchill,Nevada,24716,49830,60951,24572,9253
1110,Edwards,Kansas,24714,46551,55114,2998,1269
1111,San Juan,Colorado,24711,39583,53194,659,321
1112,Cayuga,New York,24702,51581,63082,79767,31311
1113,Victoria,Texas,24700,50364,56062,88068,32072
1114,Montague,Texas,24699,44231,55267,19668,8038
1115,Warren,Missouri,24692,50830,64196,32667,12572
1116,Kootenai,Idaho,24685,49002,56911,140785,55679
1117,Russell,Kansas,24683,37111,48132,6945,3317
1118,Morris,Kansas,24680,47445,57161,5869,2503
1119,Clinton,New York,24676,50282,63665,81865,31901
1120,Lincoln,Wisconsin,24669,49021,61366,28650,12513
1121,Norfolk City,Virginia,24659,44747,51986,244090,85557
1122,Asotin,Washington,24659,43175,55321,21802,9058
1123,Macoupin,Illinois,24658,49590,60309,47462,19254
1124,Osceola,Iowa,24653,48659,63939,6335,2676
1125,Dickey,North Dakota,24644,47359,62298,5264,2178
1126,Merrick,Nebraska,24639,50859,56185,7802,3316
1127,Hawaii County,Hawaii,24635,51250,59862,187044,64909
,,Indiana,24635,48248,59911,6514861,2481793
1128,Chippewa,Wisconsin,24628,50551,61420,62676,24456
1129,Custer,Nebraska,24615,44873,56136,10872,4738
1130,Whitley,Indiana,24613,51914,61149,33274,13094
1131,Polk,North Carolina,24611,44745,53909,20381,8788
1132,Dickinson,Michigan,24611,44136,53342,26201,11432
1133,Park,Montana,24611,42426,56960,15621,6445
1134,Davison,South Dakota,24597,48341,62438,19622,8471
1135,Madison,Nebraska,24593,46566,58592,34995,13867
1136,Floyd,Iowa,24590,43826,56004,16177,7007
1137,Dodge,Nebraska,24588,48626,57827,36675,15221
1138,Prince of Wales-Hyder Census Area,Alaska,24581,46071,53333,5672,2240
1139,Moffat,Colorado,24577,53231,68822,13447,5062
1140,Wheeler,Oregon,24575,37974,46875,1292,625
1141,Dodge,Wisconsin,24573,53075,64923,88598,33173
1142,Autauga,Alabama,24571,53682,66349,54907,20071
1143,Hartley,Texas,24566,65750,75527,6076,1748
1144,Kimball,Nebraska,24565,42180,52276,3779,1641
1145,Anderson,Tennessee,24561,43620,55940,75263,30548
1146,Franklin County,Virginia,24557,45624,55970,56195,23358
1147,Monona,Iowa,24557,42025,57292,9208,3981
1148,Gage,Nebraska,24555,47654,61483,22055,9133
1149,Grant,South Dakota,24554,48896,57699,7307,3159
1150,Pennington,Minnesota,24554,45633,61448,14008,5806
1151,Clay,Minnesota,24550,52410,68533,59638,22463
1152,Nemaha,Kansas,24550,47122,61696,10149,4117
1153,Ray,Missouri,24549,52698,63014,23290,8735
1154,Winnebago,Iowa,24547,45603,61599,10732,4591
1155,Haywood,North Carolina,24536,41557,52014,58951,26608
1156,Carroll,Indiana,24531,50542,60427,20109,7995
1157,Boyd,Kentucky,24530,40379,53328,49314,19530
1158,Whiteside,Illinois,24525,47667,58305,58150,23370
1159,Clark,Kentucky,24524,45853,57583,35608,14498
1160,Mitchell,Iowa,24518,51078,66895,10739,4389
1161,Hamilton,Iowa,24510,43589,58135,15486,6395
1162,Hamilton,Kansas,24510,43357,51953,2645,1076
1163,Monroe,Iowa,24508,45997,56887,8010,3361
1164,Clay,Kansas,24503,45233,57236,8500,3407
1165,Rock,Nebraska,24501,43500,55625,1436,666
1166,Buffalo,Wisconsin,24500,47384,58708,13466,5777
1167,Bay,Florida,24498,47461,57295,170704,67561
1168,Flagler,Florida,24497,47233,53823,97301,35647
1169,Cuming,Nebraska,24496,47500,58654,9095,3822
1170,Dorchester,South Carolina,24495,53857,62753,139802,50321
1171,Winnebago,Illinois,24495,47072,58536,293384,113449
1172,Jackson,Iowa,24493,46467,56474,19737,8479
1173,Jones,Georgia,24485,51497,60290,28650,10384
1174,Susquehanna,Pennsylvania,24477,48231,57595,42948,17163
1175,Scott,Illinois,24471,49669,61563,5288,2113
1176,Shelby,Indiana,24459,51440,60234,44511,17171
1177,Yates,New York,24457,49335,60271,25293,9602
1178,Benton,Minnesota,24453,52200,64694,38756,15359
1179,Stark,Ohio,24453,45641,57381,375348,150003
1180,Wayne,Nebraska,24448,52147,69696,9499,3401
1181,Androscoggin,Maine,24442,44921,57444,107634,44006
,,Louisiana,24442,44874,56288,4567968,1707852
1182,Georgetown,South Carolina,24437,40131,51852,60280,23115
1183,White Pine,Nevada,24435,48586,63982,10023,3357
1184,Prince George,Virginia,24434,63074,70566,36462,10848
1185,Carlton,Minnesota,24434,53016,63548,35398,13789
1186,Fergus,Montana,24429,38344,52473,11517,4924
1187,Polk,Oregon,24426,52808,62802,75930,28239
,,Tennessee,24409,44298,54779,6402387,2475195
1188,Des Moines,Iowa,24408,42451,53237,40301,16993
1189,Faulkner,Arkansas,24401,50314,65155,115928,42413
1190,Jackson,Oregon,24378,44005,53254,205117,83140
1191,Vanderburgh,Indiana,24378,43540,58352,180233,73963
1192,Antrim,Michigan,24370,45362,53125,23504,9731
1193,Pepin,Wisconsin,24367,47701,58770,7417,3085
1194,Coos,New Hampshire,24367,41985,53813,32520,14531
1195,St. Clair,Michigan,24357,48066,58697,161865,64379
1196,Calcasieu,Louisiana,24355,43499,55484,193528,73726
1197,Colorado County,Texas,24348,45146,55408,20776,8079
1198,Morgan,Illinois,24337,46809,62224,35424,13926
1199,Marshall,West Virginia,24329,40681,51779,32840,14042
1200,Jack,Texas,24325,49038,64836,9012,2972
1201,Sioux,Iowa,24324,57227,67067,34050,11623
1202,Boise,Idaho,24324,41056,55586,6944,2994
1203,Sherman,Oregon,24314,42639,57115,1865,827
1204,Clark,Indiana,24312,50496,60754,111221,42502
1205,Otsego,Michigan,24312,47584,56823,24127,9818
1206,Bullitt,Kentucky,24308,54836,62514,75250,27874
1207,Caddo,Louisiana,24308,41053,52823,255551,98554
1208,Lavaca,Texas,24299,44149,54765,19351,7711
1209,Jasper,Indiana,24297,57500,67259,33398,11924
1210,Clark,Illinois,24296,47405,55434,16284,6568
1211,Milwaukee,Wisconsin,24295,43193,55164,950527,379637
1212,Ellis,Kansas,24291,43085,63712,28746,11824
1213,Yamhill,Oregon,24290,54535,62284,99802,34138
1214,Howard,Iowa,24286,46429,55582,9560,3884
1215,Black Hawk,Iowa,24273,45747,61495,131468,52276
1216,Louisa,Iowa,24272,50583,57545,11348,4381
1217,Broadwater,Montana,24270,45932,49362,5666,2421
1218,Wells,Indiana,24269,48136,57459,27707,10904
1219,Craven,North Carolina,24260,47141,55689,104041,39931
1220,Judith Basin,Montana,24260,41932,55089,2043,879
1221,Rich,Utah,24258,50000,65250,2279,664
1222,Gibson,Indiana,24258,49329,61861,33514,13094
1223,Nez Perce,Idaho,24257,46503,58875,39458,16019
1224,Bexar,Texas,24253,50112,58289,1753238,604698
1225,Ector,Texas,24247,51466,59067,141542,49962
1226,Franklin,Mississippi,24234,32372,39234,8013,3311
1227,Lane,Oregon,24224,42931,56605,353382,144912
1228,Platte,Nebraska,24219,51213,60814,32350,12477
1229,Adams,Illinois,24217,45073,58992,67152,26912
,,Oklahoma,24208,45339,56464,3785742,1444081
1230,Marshall,South Dakota,24205,46597,64375,4657,1683
1231,Webster,Iowa,24203,41624,57137,37626,15458
1232,Wabaunsee,Kansas,24199,54694,65417,7050,2693
1233,Adams,Colorado,24195,56270,64611,452030,152803
1234,Wyoming County,Pennsylvania,24195,48482,58479,28177,10992
1235,Erie,Pennsylvania,24189,45202,58451,280518,109675
1236,Lake,Florida,24183,45035,54237,300926,117250
1237,Warren,Pennsylvania,24179,43764,56410,41429,17257
1238,Garfield,Oklahoma,24177,44530,53572,60956,23508
1239,Rush,Kansas,24175,42610,52727,3233,1529
1240,Jasper,Illinois,24174,52233,59406,9680,3904
1241,Schuyler,New York,24173,46976,58866,18432,7684
1242,Leon,Texas,24170,44452,54609,16802,6349
1243,Paulding,Georgia,24168,61837,67668,143845,47881
1244,Washington County,New York,24168,52361,61494,63237,24499
1245,Berkeley,South Carolina,24165,52427,59373,184366,65392
1246,Otsego,New York,24165,47765,60526,62029,24078
1247,Alleghany,Virginia,24162,44848,59384,16240,6773
1248,Anderson,Kentucky,24161,52646,64806,21575,8323
1249,Mercer,Ohio,24157,52535,64758,40811,15851
1250,Kane,Utah,24154,48540,58883,7176,3077
1251,Campbell,South Dakota,24152,35729,50938,1435,679
1252,Hardin,Kentucky,24147,48687,58565,106211,39401
1253,Allegan,Michigan,24140,52061,59509,111742,41794
1254,Chickasaw,Iowa,24139,43971,55735,12379,5364
1255,Mercer,Kentucky,24138,45396,58533,21313,8745
1256,Pipestone,Minnesota,24137,46019,56071,9470,3924
1257,Holt,Missouri,24127,42979,53578,4771,2218
1258,Marion,Indiana,24124,42334,52417,912242,360072
60%,,,24122,,,,
1259,Holt,Nebraska,24120,44427,58608,10435,4469
1260,Jackson,Kansas,24117,54546,63807,13430,5273
1261,Marshall,Iowa,24117,51555,60501,40800,15350
1262,Terrebonne,Louisiana,24114,49960,60417,111868,39279
1263,Rock,Minnesota,24101,46623,58835,9601,3970
1264,Wabash,Illinois,24096,47365,61412,11848,4785
1265,Rock,Wisconsin,24094,49435,60120,160345,63309
1266,Throckmorton,Texas,24086,39286,42368,1623,758
1267,Franklin,Indiana,24085,49516,63675,23042,8551
1268,Itasca,Minnesota,24079,46912,56705,45219,18862
1269,Carroll,Missouri,24073,46002,61400,9216,3613
1270,Howard,Indiana,24071,43590,57615,82795,34544
1271,Gregg,Texas,24064,45525,56869,122258,45292
1272,Stonewall,Texas,24063,42429,54167,1363,578
1273,Huerfano,Colorado,24058,33298,41862,6625,3059
1274,Wood,West Virginia,24042,42287,53647,86779,35569
1275,Fremont,Wyoming,24037,50418,60397,40517,15425
1276,Shelby,Ohio,24028,50427,60939,49317,18311
1277,Kingman,Kansas,24026,47466,58299,7860,3223
1278,Beadle,South Dakota,24025,42196,58207,17663,7343
1279,Madison,Ohio,24014,54956,65696,43221,14611
1280,Berrien,Michigan,24013,43633,56324,156290,60414
1281,Wayne,Pennsylvania,24005,49313,58934,52212,19558
1282,Grayson,Texas,24003,46429,57313,121292,46559
1283,Horry,South Carolina,24002,42431,51252,276688,113490
1284,Lemhi,Idaho,23998,34122,53709,7853,3832
1285,Bosque,Texas,23992,44742,53835,18094,7012
1286,Owen,Kentucky,23991,41009,60356,10807,4601
1287,Pulaski,Virginia,23987,44312,54224,34768,14875
1288,Livingston,New York,23978,53518,66664,65087,24092
1289,Steuben,Indiana,23975,48080,56300,34190,13514
1290,Mahoning,Ohio,23975,41058,54118,237033,98201
1291,Volusia,Florida,23973,42457,53086,496268,195907
1292,Curry,Oregon,23972,39516,48833,22361,10355
1293,Hansford,Texas,23969,49150,57703,5566,1983
1294,Custer,Idaho,23965,39541,60954,4331,1870
1295,Beckham,Oklahoma,23959,48989,60852,22715,7755
1296,Treasure,Montana,23948,37105,47206,711,332
,,South Carolina,23943,44779,55058,4679602,1780251
1297,Roane,Tennessee,23936,42223,52729,53765,22117
1298,Lake,Indiana,23918,49035,60080,494250,182080
1299,Christian,Illinois,23915,45145,56066,34651,14138
1300,Custer,Montana,23910,43524,58594,11785,4986
1301,Lapeer,Michigan,23907,52939,60597,88323,32684
1302,Oconee,South Carolina,23904,41394,49753,74419,30106
1303,Dickinson,Kansas,23895,48890,58884,19734,7845
1304,Penobscot,Maine,23895,43734,56155,153649,62608
1305,Pacific,Washington,23888,39830,50919,20781,9366
1306,Lucas,Ohio,23885,41556,55295,439511,178101
1307,Jackson,Mississippi,23879,48943,58357,139906,50007
1308,Knox,Ohio,23878,49750,59561,60925,22583
1309,Clay,Nebraska,23876,46784,54762,6469,2647
1310,Blair,Pennsylvania,23875,42992,55446,126940,51433
,,Utah,23873,58821,66646,2813673,886770
1311,St. Clair,Alabama,23872,50786,57643,84521,31353
1312,Crockett,Texas,23872,50475,57050,3840,1375
1313,King and Queen,Virginia,23868,48372,55182,7020,2863
1314,Gallatin,Illinois,23862,40330,53250,5516,2369
1315,Elmore,Alabama,23856,54766,65479,79895,28324
1316,Warren,Kentucky,23853,44135,60772,115438,44240
1317,Pickaway,Ohio,23851,54003,64576,55949,19167
1318,Sullivan,Tennessee,23850,39479,50725,156741,66239
1319,Fulton,New York,23839,44276,54619,55165,22611
1320,Greeley,Nebraska,23833,44950,55909,2507,1011
1321,Grant,Oregon,23828,35051,46000,7359,3319
1322,Columbia,Washington,23814,42519,50956,4027,1651
1323,Washita,Oklahoma,23811,46686,53912,11631,4630
1324,Robertson,Tennessee,23809,52792,60073,66623,24136
1325,Walla Walla,Washington,23809,46597,59108,59092,21677
1326,Perquimans,North Carolina,23809,43709,51103,13463,5437
1327,Sawyer,Wisconsin,23809,39904,46831,16542,7663
1328,Uintah,Utah,23805,62067,65922,33722,11007
1329,Wichita,Kansas,23799,53018,54952,2231,877
1330,Bay,Michigan,23799,45376,55652,107312,44127
1331,Taylor,Iowa,23793,43804,51701,6256,2764
1332,Marquette,Michigan,23789,45622,61103,67358,26436
1333,Mahaska,Iowa,23788,47967,59173,22428,9073
1334,Blount,Tennessee,23788,45991,56626,123722,48728
1335,Butte,California,23787,43752,55917,220542,84816
1336,Moultrie,Illinois,23786,46622,55610,14869,5676
1337,Dinwiddie,Virginia,23781,52027,58543,27977,9932
1338,Kankakee,Illinois,23779,50102,61559,112991,41245
1339,Harvey,Kansas,23775,50287,65591,34722,13287
1340,Lubbock,Texas,23773,44397,56425,282633,105277
1341,Phillips,Kansas,23772,43059,55102,5573,2388
1342,Dixon,Nebraska,23769,47325,57946,5953,2348
1343,Rooks,Kansas,23768,42449,53029,5189,2349
1344,Morgan,Alabama,23764,44800,55536,119673,46192
,,New Mexico,23763,44927,54513,2069706,761938
1345,Transylvania,North Carolina,23757,41781,51702,32894,13981
1346,Morrison,Minnesota,23753,47649,60155,33118,13416
1347,Colfax,Nebraska,23751,51765,61841,10495,3686
1348,Cape Girardeau,Missouri,23751,46516,57604,76322,29411
1349,Hayes,Nebraska,23749,49125,56125,1142,477
1350,Pointe Coupee,Louisiana,23742,45363,59064,22736,8818
1351,Elk,Pennsylvania,23738,45767,55378,31799,13478
1352,Pasco,Florida,23736,43888,53807,468194,182707
1353,Douglas,Illinois,23732,52741,65220,19902,7509
1354,Pamlico,North Carolina,23724,43853,54679,13115,5146
1355,Price,Wisconsin,23723,42644,53902,14025,6776
1356,DeWitt,Texas,23720,46454,55394,20269,6948
1357,Hancock,Illinois,23714,43925,54700,18949,8101
1358,Tom Green,Texas,23712,44545,57722,111969,42286
1359,Adams,Iowa,23707,45871,56552,3973,1745
1360,Norman,Minnesota,23707,45389,59103,6753,2737
1361,DeKalb,Illinois,23696,53375,71343,104820,37844
1362,Tippecanoe,Indiana,23691,44246,63086,175628,66667
1363,Lincoln,Kansas,23686,40811,54167,3199,1414
1364,Nance,Nebraska,23684,44286,54402,3707,1534
1365,Lyon,Iowa,23683,52152,62459,11659,4425
1366,Columbia,Pennsylvania,23681,44807,56917,67021,26225
,,Alabama,23680,43253,54362,4799277,1838683
1367,Delaware County,New York,23677,44470,56427,47491,19844
1368,Cheyenne,Kansas,23677,37875,53571,2708,1343
1369,Nueces,Texas,23671,47057,54483,344257,123915
1370,Shasta,California,23670,44651,54222,177966,68980
1371,Bradford,Pennsylvania,23667,46963,56198,62624,24213
1372,White,Indiana,23666,51444,60995,24542,9541
1373,Armstrong,Pennsylvania,23661,45241,55063,68614,28525
1374,Schuyler,Illinois,23656,48138,58547,7490,3056
1375,Palo Pinto,Texas,23655,41670,51399,28017,10491
1376,Cheyenne,Colorado,23647,51641,63938,2189,839
1377,Cabell,West Virginia,23647,38374,52300,96604,40144
1378,Hall,Georgia,23645,50853,58295,182841,61220
1379,Spencer,Indiana,23641,52991,64930,20960,7984
1380,Lafayette,Missouri,23637,50527,65057,33188,13117
1381,Appomattox,Virginia,23636,50167,59252,15054,5803
1382,Winkler,Texas,23629,48992,55668,7260,2709
1383,Douglas,Georgia,23626,52691,58918,133486,46295
1384,Fall River,South Dakota,23624,37667,58910,7001,3138
1385,Richland,Illinois,23621,44070,57038,16213,6620
1386,Cochise,Arizona,23608,45755,55120,131038,49174
1387,Williamson,Illinois,23605,43125,54242,66606,26819
1388,Sutter,California,23602,50408,57129,94787,31725
1389,Riverside,California,23591,56529,63378,2228528,683144
1390,Caribou,Idaho,23586,53586,63545,6867,2644
1391,Caledonia,Vermont,23584,45395,54941,31157,12491
1392,Kiowa,Oklahoma,23576,36281,46015,9389,3886
1393,Richardson,Nebraska,23566,38582,49080,8289,3779
1394,Silver Bow,Montana,23562,38659,53713,34322,15042
1395,Grand,Utah,23558,45888,62627,9269,3633
1396,Cowlitz,Washington,23557,47596,56810,102110,39602
1397,Marinette,Wisconsin,23555,40490,53495,41632,18573
1398,Hitchcock,Nebraska,23554,39702,56875,2884,1366
1399,Montgomery,Virginia,23548,45543,66800,94910,34789
1400,Montezuma,Colorado,23548,43188,49245,25512,10688
1401,Nelson,Kentucky,23545,43833,54708,43905,16571
1402,Mason,Washington,23542,48755,57662,60647,23358
1403,Humboldt,California,23540,41426,52974,134613,53296
1404,Pender,North Carolina,23526,44524,53740,53412,20254
1405,Greene,Missouri,23520,40337,53359,278231,115574
1406,Cimarron,Oklahoma,23514,38301,49600,2432,1067
1407,Lauderdale,Alabama,23510,42844,55673,92666,38458
1408,St. Joseph,Indiana,23509,44582,56861,266694,101947
1409,Golden Valley,Montana,23508,39313,50938,709,323
1410,Lee,Alabama,23506,43542,61629,144405,55864
1411,Aurora,South Dakota,23504,46667,56389,2722,1102
1412,Grady,Oklahoma,23500,49637,57046,52855,19762
1413,Shawano,Wisconsin,23500,46559,54485,41776,17245
1414,Page,Iowa,23496,43010,57784,15838,6415
1415,Washington County,Ohio,23496,42834,55505,61600,25029
1416,Pierce,North Dakota,23491,42975,63243,4399,1983
1417,Marquette,Wisconsin,23490,46077,55060,15308,6453
1418,Giles,Virginia,23485,45141,54697,17111,7167
1419,Lafayette,Wisconsin,23483,49107,59593,16841,6605
1420,Goshen,Wyoming,23475,43257,51882,13458,5255
1421,Northampton,Virginia,23473,33635,52742,12339,5149
1422,Clarke,Iowa,23472,43216,59972,9311,3672
,,Kentucky,23462,43036,54279,4361333,1694996
1423,Rockdale,Georgia,23461,52579,58441,85650,29317
1424,Cheatham,Tennessee,23459,52446,61433,39213,14421
1425,Monroe,Wisconsin,23456,49774,61851,44953,17543
1426,Cottonwood,Minnesota,23456,45294,55081,11658,4802
1427,Escambia,Florida,23441,43918,55382,300795,111689
1428,Perry,Missouri,23435,47876,58656,19001,7511
1429,Lampasas,Texas,23423,49277,58034,19937,7289
1430,Winona,Minnesota,23421,47468,67948,51328,18957
1431,Jackson,Texas,23418,49528,62062,14201,5212
1432,Herkimer,New York,23418,45047,55976,64428,26815
1433,Montgomery,New York,23417,44156,55028,50019,19703
1434,Cheboygan,Michigan,23412,38410,46010,25985,11477
1435,Duchesne,Utah,23411,57683,63048,19109,6850
1436,Rush,Indiana,23396,47401,56923,17257,6874
1437,Fayette,Iowa,23391,45542,60296,20822,8328
1438,Matagorda,Texas,23389,43096,51190,36639,13260
1439,Hutchinson,Texas,23383,44731,51838,21986,8374
1440,Ochiltree,Texas,23382,49964,60121,10467,3736
1441,Coconino,Arizona,23382,49555,59308,134795,46198
1442,Reno,Kansas,23382,43798,54770,64319,25693
1443,Calhoun,Texas,23381,47027,56167,21503,7870
1444,Hall,Nebraska,23380,48712,56897,59431,22168
1445,Coffee,Alabama,23380,43768,58898,50468,18820
1446,Jones,South Dakota,23377,44808,53854,981,438
1447,Preble,Ohio,23374,48405,57530,42050,16238
1448,San Patricio,Texas,23373,50657,56069,65210,22147
1449,Edgar,Illinois,23368,42133,51601,18339,7893
1450,Champaign,Ohio,23358,49157,58486,39855,15014
1451,Stephenson,Illinois,23350,43472,54367,47315,19408
1452,Henry,Ohio,23347,49439,61426,28164,11006
1453,Mason,Kentucky,23347,41137,48486,17452,6569
1454,Juneau,Wisconsin,23343,45297,54255,26673,10194
1455,Bastrop,Texas,23342,51750,61250,74730,25432
1456,Barron,Wisconsin,23337,44054,54827,45826,19168
1457,Ringgold,Iowa,23324,44551,53353,5107,2074
1458,Iron,Wisconsin,23324,39051,49059,5937,2953
1459,Red Willow,Nebraska,23320,42345,58831,11015,4732
1460,Houston,Alabama,23316,40948,52214,102326,39250
1461,Harrison,West Virginia,23309,43183,54364,69078,27599
1462,Moore,Tennessee,23307,46170,59462,6347,2416
1463,Mendocino,California,23306,43469,54459,87497,33878
1464,Ralls,Missouri,23299,47969,54936,10206,4044
1465,Roanoke City,Virginia,23295,38145,48879,97355,42494
1466,St. Lucie,Florida,23285,43413,50334,281015,106060
